id,supplier_id,part_number,qty,status
111,1,444I4815-14,25,SHIPPED
112,1,421G3395-3,22,PACKING
113,1,689O9457-15,23,PACKING
114,1,986K6442-6,32,PACKING
115,1,417P6488-6,24,STAGED
116,1,162C5141-11,24,STAGED
117,1,246U6989-1,36,STAGED
118,1,326Q1574-15,22,SHIPPED
119,1,361E1522-13,27,SHIPPED
120,1,384P7393-9,40,SHIPPED
121,1,849E9587-1,34,PACKING
122,1,529B3391-11,27,PACKING
123,1,784P5928-6,22,STAGED
124,1,678C7478-5,23,STAGED
125,1,621P1874-14,20,PACKING
126,1,554F7411-8,38,STAGED
127,1,239L5882-5,25,SHIPPED
128,1,259M3486-9,38,SHIPPED
129,1,587S5667-9,16,STAGED
130,1,899H9854-8,33,PACKING
131,1,858C1147-3,17,STAGED
132,1,779B9138-11,18,PACKING
133,1,947Y5155-15,27,SHIPPED
134,1,686V4251-5,17,PACKING
135,1,825H2256-3,26,PACKING
136,1,116M6911-8,20,PACKING
137,1,255E1134-1,18,SHIPPED
138,1,327V2479-7,20,SHIPPED
139,1,144Z8255-13,17,PACKING
140,1,433X5545-12,27,SHIPPED
141,1,163J1212-10,35,STAGED
142,1,956E7759-15,26,PACKING
143,1,999I6798-12,17,SHIPPED
144,1,262A7581-5,33,STAGED
145,1,528O2785-6,36,SHIPPED
146,1,182A6552-5,23,SHIPPED
147,1,885O4149-14,37,STAGED
148,1,294I5759-12,24,PACKING
149,1,763C8651-1,20,SHIPPED
150,1,176T8694-9,38,STAGED
